ParkCode,Date,Temperature,Weather_Despcription
chir,1634238000,292.94,clear sky
chir,1634324400,291.82,clear sky
chir,1634410800,294.34,clear sky
chir,1634497200,295.84,broken clouds
chir,1634583600,295.02,scattered clouds
chir,1634670000,294.52,light rain
chri,1634140800,301.5,moderate rain
chri,1634227200,301.68,moderate rain
chri,1634313600,301.8,light rain
chri,1634400000,301.4,few clouds
chri,1634486400,301.13,light rain
chri,1634572800,301.3,light rain
chri,1634659200,301.5,light rain
chri,1634745600,301.43,light rain
ciro,1634065200,276.64,light snow
ciro,1634151600,280.46,overcast clouds
ciro,1634238000,279.09,overcast clouds
ciro,1634324400,281.28,clear sky
ciro,1634410800,284.39,clear sky
ciro,1634497200,286.3,overcast clouds
ciro,1634583600,286.97,scattered clouds
ciro,1634670000,287.67,scattered clouds
cwdw,1634140800,299.5,few clouds
cwdw,1634227200,298.97,overcast clouds
cwdw,1634313600,300.19,scattered clouds
cwdw,1634400000,298.9,light rain
cwdw,1634486400,289.22,clear sky
cwdw,1634572800,290.69,clear sky
cwdw,1634659200,291.79,clear sky
cwdw,1634745600,294.03,clear sky
clba,1634140800,299.5,few clouds
clba,1634227200,298.97,overcast clouds
clba,1634313600,300.19,scattered clouds
clba,1634400000,298.9,light rain
clba,1634486400,289.22,clear sky
clba,1634572800,290.69,clear sky
clba,1634659200,291.79,clear sky
clba,1634745600,294.03,clear sky
colo,1634140800,295,light rain
colo,1634227200,294.48,overcast clouds
colo,1634313600,294.8,scattered clouds
colo,1634400000,297,light rain
colo,1634486400,288.73,clear sky
colo,1634572800,289.6,clear sky
colo,1634659200,291,broken clouds
colo,1634745600,292.23,clear sky
colm,1634061600,269.96,rain and snow
colm,1634148000,269.47,light snow
colm,1634234400,270.08,snow
colm,1634320800,271.97,clear sky
colm,1634407200,279.08,clear sky
colm,1634493600,281.88,clear sky
colm,1634580000,281.46,overcast clouds
colm,1634666400,282.26,clear sky
colt,1634140800,294.04,light rain
colt,1634227200,293.91,broken clouds
colt,1634313600,293.73,broken clouds
colt,1634400000,290.44,heavy intensity rain
colt,1634486400,284.97,clear sky
colt,1634572800,285.44,scattered clouds
colt,1634659200,288.04,clear sky
